epoch,avg_return,avg_length
0,20.61855670103093,20.61855670103093
1,24.475609756097562,24.475609756097562
2,21.30851063829787,21.30851063829787
3,20.1,20.1
4,22.863636363636363,22.863636363636363
5,21.157894736842106,21.157894736842106
6,21.559139784946236,21.559139784946236
7,23.310344827586206,23.310344827586206
8,25.7,25.7
9,21.393617021276597,21.393617021276597
10,24.524390243902438,24.524390243902438
11,23.126436781609197,23.126436781609197
12,24.77777777777778,24.77777777777778
13,25.125,25.125
14,22.42222222222222,22.42222222222222
15,23.488372093023255,23.488372093023255
16,23.964285714285715,23.964285714285715
17,21.361702127659573,21.361702127659573
18,22.852272727272727,22.852272727272727
19,21.64516129032258,21.64516129032258
20,21.858695652173914,21.858695652173914
21,23.114942528735632,23.114942528735632
22,24.28235294117647,24.28235294117647
23,23.74418604651163,23.74418604651163
24,24.313253012048193,24.313253012048193
25,26.01298701298701,26.01298701298701
26,23.83529411764706,23.83529411764706
27,24.511904761904763,24.511904761904763
28,22.22222222222222,22.22222222222222
29,24.10843373493976,24.10843373493976
30,24.597560975609756,24.597560975609756
31,23.80952380952381,23.80952380952381
32,25.061728395061728,25.061728395061728
33,23.611764705882354,23.611764705882354
34,24.035714285714285,24.035714285714285
35,24.202380952380953,24.202380952380953
36,24.963414634146343,24.963414634146343
37,26.064935064935064,26.064935064935064
38,25.39240506329114,25.39240506329114
39,24.096385542168676,24.096385542168676
40,26.012820512820515,26.012820512820515
41,25.1125,25.1125
42,26.68831168831169,26.68831168831169
43,25.443037974683545,25.443037974683545
44,25.582278481012658,25.582278481012658
45,26.42105263157895,26.42105263157895
46,25.125,25.125
47,24.765432098765434,24.765432098765434
48,28.11111111111111,28.11111111111111
49,27.90277777777778,27.90277777777778
50,29.333333333333332,29.333333333333332
51,25.049382716049383,25.049382716049383
52,27.930555555555557,27.930555555555557
53,30.742424242424242,30.742424242424242
54,27.22972972972973,27.22972972972973
55,30.01492537313433,30.01492537313433
56,28.375,28.375
57,28.985507246376812,28.985507246376812
58,30.484848484848484,30.484848484848484
59,30.861538461538462,30.861538461538462
60,28.585714285714285,28.585714285714285
61,27.2972972972973,27.2972972972973
62,32.967213114754095,32.967213114754095
63,26.025974025974026,26.025974025974026
64,31.825396825396826,31.825396825396826
65,29.08695652173913,29.08695652173913
66,33.932203389830505,33.932203389830505
67,26.038961038961038,26.038961038961038
68,32.04761904761905,32.04761904761905
69,29.647058823529413,29.647058823529413
70,29.681159420289855,29.681159420289855
71,28.685714285714287,28.685714285714287
72,33.95,33.95
73,30.01492537313433,30.01492537313433
74,29.970149253731343,29.970149253731343
75,30.62121212121212,30.62121212121212
76,31.88888888888889,31.88888888888889
77,28.56338028169014,28.56338028169014
78,30.53030303030303,30.53030303030303
79,30.560606060606062,30.560606060606062
80,31.609375,31.609375
81,33.733333333333334,33.733333333333334
82,34.741379310344826,34.741379310344826
83,35.43859649122807,35.43859649122807
84,31.761904761904763,31.761904761904763
85,32.38709677419355,32.38709677419355
86,30.104477611940297,30.104477611940297
87,33.93333333333333,33.93333333333333
88,33.459016393442624,33.459016393442624
89,31.333333333333332,31.333333333333332
90,36.017857142857146,36.017857142857146
91,30.757575757575758,30.757575757575758
92,30.93846153846154,30.93846153846154
93,32.476190476190474,32.476190476190474
