epoch,avg_return,avg_length
0,22.253333333333334,22.253333333333334
1,27.222826086956523,27.222826086956523
2,31.01851851851852,31.01851851851852
3,33.68666666666667,33.68666666666667
4,38.86821705426357,38.86821705426357
5,42.559322033898304,42.559322033898304
6,44.389380530973455,44.389380530973455
7,50.118811881188115,50.118811881188115
8,49.613861386138616,49.613861386138616
9,56.20879120879121,56.20879120879121
10,62.04938271604938,62.04938271604938
11,60.40963855421687,60.40963855421687
12,70.56338028169014,70.56338028169014
13,73.6231884057971,73.6231884057971
14,72.53623188405797,72.53623188405797
15,75.13432835820896,75.13432835820896
16,84.93333333333334,84.93333333333334
17,95.64150943396227,95.64150943396227
18,114.25,114.25
19,94.98113207547169,94.98113207547169
20,133.6578947368421,133.6578947368421
21,146.28571428571428,146.28571428571428
22,189.88888888888889,189.88888888888889
23,210.4,210.4
24,252.1,252.1
25,247.0952380952381,247.0952380952381
26,275.3157894736842,275.3157894736842
27,338.0,338.0
28,361.5,361.5
29,272.4736842105263,272.4736842105263
30,320.6875,320.6875
31,371.35714285714283,371.35714285714283
32,451.4166666666667,451.4166666666667
33,441.0,441.0
34,458.0833333333333,458.0833333333333
35,493.90909090909093,493.90909090909093
36,443.4166666666667,443.4166666666667
37,428.1666666666667,428.1666666666667
38,317.3125,317.3125
39,463.0,463.0
40,419.9166666666667,419.9166666666667
41,426.8333333333333,426.8333333333333
42,409.0769230769231,409.0769230769231
43,333.0625,333.0625
44,418.9166666666667,418.9166666666667
45,370.35714285714283,370.35714285714283
46,371.64285714285717,371.64285714285717
47,341.1333333333333,341.1333333333333
48,352.1333333333333,352.1333333333333
49,371.2857142857143,371.2857142857143
